sym,title1,newstime
,Friday's economic calendar,"Fri, May 17, 12:00 AM"
KBR,Fourth train at Freeport LNG export terminal wins FERC approval,"Yesterday, 10:54 PM"
BPMX,BioPharmX down 15% after hours on stock sales agreement,"Yesterday, 10:45 PM"
PHM,PulteGroup adds $500M to stock buyback program,"Yesterday, 10:29 PM"
SNDE,Sundance Energy Australia&nbsp; misses on revenue,"Yesterday, 8:27 PM"
HUYA,"Huya Broadcasting EPS in-line, beats on revenue","Yesterday, 8:22 PM"
FLR,Fluor confirms Hernandez as its CEO,"Yesterday, 7:00 PM"
DISCA,Discovery prices $1.5B in senior debt,"Yesterday, 6:55 PM"
BAYRY,Bayer to bet on 'silver bullet' defense in Roundup litigation - Reuters,"Yesterday, 6:51 PM"
HUYA,"Huya +3.1% as profits double, revenues top expectations","Yesterday, 6:48 PM"
ACDVF,Air Canada in exclusive talks to buy Transat in deal likely to draw scrutiny,"Yesterday, 6:23 PM"
,Legg Mason Partners Advisor declares monthly distribution on funds,"Yesterday, 6:04 PM"
,On the hour,"Yesterday, 6:00 PM"
,Blackhawk Bancorp declares $0.10 dividend,"Yesterday, 5:57 PM"
PDCE,PDC Energy wins Glass Lewis support in activist challenge,"Yesterday, 5:53 PM"
,"NVDA, BIDU, AMAT and PINS among notable after hour movers","Yesterday, 5:46 PM"
VNET,"Data-center firm 21Vianet logs steady growth, plans investment","Yesterday, 5:35 PM"
CAE,CAE Q4 2019 Earnings Preview,"Yesterday, 5:30 PM"
,Notable earnings before Friday’s open,"Yesterday, 5:30 PM"
DE,Deere Q2 2019 Earnings Preview,"Yesterday, 5:30 PM"
COHO,Crednology Holding reports Q1 results,"Yesterday, 5:24 PM"
RRC,Range Resources promotes Degner to COO,"Yesterday, 5:23 PM"
HAL,Halliburton declares $0.18 dividend,"Yesterday, 5:20 PM"
VALE,Vale warns of rupture risk at another Brazilian mining waste dam,"Yesterday, 5:15 PM"
,Apollo Investment declares $0.45 dividend,"Yesterday, 5:15 PM"
,Cboe Global Markets declares $0.31 dividend,"Yesterday, 5:12 PM"
AMZN,Amazon mulls backing Uber Eats competitor - Sky,"Yesterday, 5:11 PM"
EGLT,Egalet reports Q1 results,"Yesterday, 5:02 PM"
CSOD,Cornerstone hires new CMO,"Yesterday, 5:02 PM"
EDPFY,EDP - Energias de Portugal reports Q1 results,"Yesterday, 4:58 PM"
GSM,Ferroglobe CFO Murnane to resign,"Yesterday, 4:57 PM"
