sym,title1,newstime,desc
,Overwatch League commish departs to work on 'Fortnite',"Yesterday, 8:20 PM","Another Fortnite-related blow for Activision Blizzard (NASDAQ:ATVI): The commissioner of its esports Overwatch League is departing to oversee esports for Fortnite publisher Epic Games.Nate Nanzer tweeted he'd be leaving Activision Blizzard for a ""new opportunity,"" and Epic told ESPN they'd agreed to hire him to pursue turning Fortnite into a sustainable esport.Activision will replace Nanzer with Pete Vlastelica.Nanzer was in charge of a successful first season for Overwatch League, which has franchises in 20 cities across Asia, North America and Europe, and filled Brooklyn's Barclays Center for a two-night championship event in July.Epic Games is backed by Tencent (OTCPK:TCEHY)."
FXB,Johnson promises firm October Brexit date,"Yesterday, 6:06 PM","The contest to replace Theresa May as U.K. prime minister has begun, with former foreign minister Boris Johnson the clear front-runner in a field of more than a dozen candidates.""We will leave the EU on October 31, deal or no deal,"" he told an economic conference in Switzerland before the weekend.Electing a new Conservative Party leader is a two-stage process. Starting the week of June 10, the party’s 300 or so members of Parliament whittle down the field of candidates to two through successive rounds of voting. After that, the party’s rank-and-file members, an estimated 124,000 people, decide which of those two finalists gets to be leader.ETFs: FXB, EWU, OTC:GBB, DBUK, FKU, EWUS, HEWU, QGBR, DGBP, FLGB, UGBP"
VWAGY,VW intensifies talks on mega battery project,"Yesterday, 5:33 PM","Volkswagen (OTCPK:VWAGY) is intensifying talks with Swedish startup Northvolt on plans to jointly build up battery cell production in Salzgitter, near its headquarters in Lower Saxony.It has pledged to spend €1B on the project, which it says depends on certain economic pre-conditions, such as subsidized electricity.Earlier this month, VW more than doubled its forecast for the supply of EV battery cells that it will need to help reach its target of becoming the global EV leader, predicting it will more than 300 gigawatt hours of annual supply in 2025."
SPACE,SpaceX raised over $1B in six months,"Yesterday, 4:10 PM","Besides the $535.7M equity offering reported here that began in April, another regulatory filing reveals that SpaceX (SPACE) raised $486.2M in a different stock offering, starting in December.That means the company has raised more than $1B in financing in the last six months as it aims to roll out a high-speed internet service, called Starlink, using a constellation of satellites to beam signals from space."
RTN,Saudi sales boon to U.S. defense industry,"Yesterday, 3:49 PM","Declaring a national emergency because of tensions with Iran, President swept aside objections from Congress on Friday to complete the sale of over $8B worth of weapons to Saudi Arabia, the UAE and Jordan.It's a big boost to the defense industry. The contracts include Raytheon (NYSE:RTN) precision-guided munitions, support for Boeing (NYSE:BA) F-15 aircraft, and Javelin anti-tank missiles, which are made by Raytheon and Lockheed Martin (NYSE:LMT).  Another company that will benefit includes General Electric (NYSE:GE), now cleared to sell engines for use in F-16 fighter jets operated by the UAE."
DXJ,Trump criticizes Japan trade advantage,"Yesterday, 3:37 PM","""Japan has had a substantial [trade] advantage for many, many years, but that's okay, maybe that's why you like us so much,"" Trump said during a meeting with Japanese business leaders in Tokyo, urging them to increase their investment in the U.S.The state visit was overshadowed by tensions with Toyota, which a week ago hit out over potential American auto tariffs and rebuked Trump's declaration that imported cars threatened U.S. national security.Trump also said Tokyo and Washington were ""getting close"" to a deal that would address the U.S. trade deficit with Japan, which stood at $56.8B in goods and services in 2018.ETFs: DXJ, EWJ, FXY, YCS, DFJ, DBJP, OTC:JYN, JOF, JPNL, DXJS, HEWJ, JEQ, YCL, EWV, EZJ, SCJ, JPXN, DXJF, JPN, JHDG, JPMV, FJP, HJPX, QJPN, DEWJ, GSJY, HFXJ, JPNH, JAMF, BBJP, DJPY, FLJH, FLJP, UJPY"
FCAU,Fiat may forge extensive ties with Renault,"Yesterday, 2:43 PM","Fiat Chrysler (NYSE:FCAU) is in advanced discussions to forge extensive ties with Renault (OTCPK:RNLSY) as the carmakers seek to join forces to tackle the structural challenges facing the global auto industry, FT reports.The agreement may ultimately lead the carmaker to join the Renault-Nissan-Mitsubishi Alliance in the future, according to sources, which warned that the outcome would mean taking a complicated path that would involve winning over Nissan (OTCPK:NSANY).The alliance's unequal relationship - smaller Renault has the bigger stake in Nissan - has long been a source of friction."
MWK,Mohawk Group preps for IPO,"Yesterday, 11:08 AM","Mohawk Group (MWK) plans to raise $46.2M to $52.8M by offering 3.3M shares in a price range of $14 to $16.The consumer products seller would trade at a market cap of $271M at the midpoint of the proposed range.The company's list of competitors includes Amazon, Helen of Troy, Newell Brands , Frigidaire and any CPG company selling similar products in the e-commerce space. In the areas of proprietary software, Mohawk sees Amazon, Jungle Scout, Helium 10, Scope, Datahawk, DataWeave, Tallridge, Boomerang Commerce, Adobe and AMZScout as competitors.SEC Form S-1"
,A sweet court ruling for MillerCoors,"Yesterday, 10:29 AM","A federal judge in Wisconsin rules Anheuser-Busch InBev (NYSE:BUD) can't suggest in advertising that MillerCoors (NYSE:TAP) has corn syrup in its beersWhile MillerCoors uses corn syrup during the extended brewing process of its beers, the syrup is consumed by yeast during fermentation and isn't in the final productThe judge said A-B hoped to exploit confusion with consumers over the issue with commercials run during the NFL playoffs."
TVPT,"Russia may take months to review Travelport deal, threatening buyout - report","Fri, May 24, 7:11 PM","Russian regulators say they may need as long as nine months to review the proposed $4.4B buyout of Travelport (NYSE:TVPT), the New York Post reports.While only 3% of Travelport's business in in Russia, the report notes that Siris Capital might use the delay to try to back out of the deal.Siris can exit without a breakup fee on June 9 if Travelport doesn't have the necessary regulatory approvals.Travelport closed today at $15.13; Siris and Paul Singer's Elliott Management have proposed to buy the company for $15.75/share."
SHSP,SharpSpring shareholders file to offer 2.05M shares,"Fri, May 24, 6:26 PM","Shareholders of cloud tech company SharpSpring (NASDAQ:SHSP) have filed to offer up to 2.055M shares of common stock.The company won't receive any proceeds from the sale of securities.Selling shareholders included the entity SHSP Holdings, with an 11.42% stake; Evercel Holdings, with a 4.77% stake; North Peak Capital Partners I and II, with stakes of 1.05% and 1.63% respectively, and CPIP (member of Evercel) manager Daniel C. Allen, with .02%."
SLB,"S&P downgrades Schlumberger credit rating, lowers Halliburton outlook","Fri, May 24, 6:16 PM","Schlumberger's (NYSE:SLB) credit rating is lowered by a notch to A+ and rival Halliburton (NYSE:HAL) had its outlook lowered to Negative from Stable at S&P Global, as belt-tightening in the U.S. shale patch means less drilling and fracking work for top oilfield services providers.""Oilfield services companies will no longer be able to generate the high operating margins they did in 2014,"" writes S&P analyst Carin Dehne-Kiley.S&P says the oilfield services industry has ""fundamentally changed due to permanent efficiency and productivity gains realized by E&P companies as well as investor sentiment calling for E&P companies to live within cash flow and limit production growth.""ETFs: XLE, OIH, XES, IEZ, PXJ"
AAPL,Customers charge Apple with sale of personal iTunes data,"Fri, May 24, 6:12 PM","Apple (NASDAQ:AAPL) is the subject of a lawsuit from customers who say the tech giant is illegally selling info about iTunes purchases along with personal data.Three customers sued seeking to represent hundreds of thousands of residents in their home states (Rhode Island and Michigan). They're seeking $250 for each Rhode Island customer whose info was disclosed, and $5,000 for each Michigan customer.""For example, any person or entity could rent a list with the names and addresses of all unmarried, college-educated women over the age of 70 with a household income of over $80,000 who purchased country music from Apple via its iTunes Store mobile application,"" the complaint says. ""Such a list is available for sale for approximately $136 per thousand customers listed.""After hours: AAPL -0.2%."
BCRX,"BioCryst +2.4% as director buys 3,000 shares","Fri, May 24, 6:07 PM","BioCryst Pharmaceuticals (NASDAQ:BCRX) is up 2.4% in postmarket trading after an SEC filing indicating director Steve Aselage bought 3,000 shares.Aselage purchased the shares on Wednesday, according to the filing, at an average price of $3.57. Shares are quoting at $3.40 after hours, following a regular session where they declined 6.2% to $3.32.That brings his beneficial ownership to 5,000 shares."
,On the hour,"Fri, May 24, 6:00 PM","S&P +0.40.10-yr +0.05%.Euro +0.28% vs. dollar.Crude +1.88% to $59.00.Gold -0.09% to $1,284.30.Bitcoin +2.35% to $8,069.8"
PFRRF,Petrofrontier reports Q1 results,"Fri, May 24, 5:55 PM",Petrofrontier (OTC:PFRRF): Q1 GAAP EPS of -C$0.01.Revenue of C$0.69M (-18.8% Y/Y)
VAM,Vivaldi Opp Shs Opportunities Fund declares $0.11925 dividend,"Fri, May 24, 5:48 PM","Vivaldi Opp Shs Opportunities Fund (VAM) declares $0.11925/share quarterly dividend, -0.7% decrease from prior dividend of $0.12."
,"AVP, WPX, BCRX and TXMD among notable after hour movers","Fri, May 24, 5:45 PM",Top Gainers: RHE +6.8%. LPL +3.4%. BCRX +2.4%. TXMD +2.2%. SFIX +2.1%.Top Losers: DBI -2.5%. WPX -2.4%. FAF -2.2%. BBVA -2.1%. AVP -1.1%.
